Year,Country,Life_Expectancy,Region,Income_Group,Alcohol,BMI,HIV_AIDS,Measles,Schooling,Healthcare_Expenditure
2000,Lesotho,49.3,Sub-Saharan Africa,Lower middle income,3.1,24.9,29.8,660,9.6,29.86616464
2001,Liberia,51.5,Sub-Saharan Africa,Low income,4.4,2.4,3.1,1379,10.5,16.72142854
2002,Liberia,56,Sub-Saharan Africa,Low income,4.27,2.7,3.1,131,10.4,10.424369
2003,Liberia,50,Sub-Saharan Africa,Low income,4.21,21.1,3.2,142,10.3,9.758449266
2004,Liberia,54,Sub-Saharan Africa,Low income,4.24,21.5,3.2,4,10.2,17.85870796
2005,Liberia,55.3,Sub-Saharan Africa,Low income,4.19,22,3.1,8,10.1,22.39648813
2006,Liberia,56.7,Sub-Saharan Africa,Low income,4.05,22.4,3,20,10,15.79934152
2014,Liberia,58.1,Sub-Saharan Africa,Low income,0.01,26.7,0.9,34,9.9,54.37396957
2007,Liberia,57.9,Sub-Saharan Africa,Low income,4.03,22.9,2.8,1,9.9,3.686899287
2013,Liberia,61.1,Sub-Saharan Africa,Low income,0.01,26.1,1.1,0,9.8,45.04892458
2008,Liberia,58.6,Sub-Saharan Africa,Low income,3.88,23.4,2.4,1,9.8,40.03344077
2009,Liberia,59.2,Sub-Saharan Africa,Low income,3.75,24,2.1,6,9.7,5.592170255
2012,Liberia,67,Sub-Saharan Africa,Low income,0.01,25.6,1.2,43,9.6,48.09891474
2010,Liberia,59.7,Sub-Saharan Africa,Low income,3.64,24.5,1.8,2200,9.6,41.91052416
2011,Liberia,62,Sub-Saharan Africa,Low income,3.72,25,1.5,279,9.5,60.44658161
2000,Liberia,51.9,Sub-Saharan Africa,Low income,4.46,2.2,3.1,5977,8.7,12.19709744
2003,Libya,71.3,Middle East & North Africa,Upper middle income,0.01,54.6,0.1,0,16,295.1166511
2004,Libya,71.5,Middle East & North Africa,Upper middle income,0.01,55.3,0.1,2771,15.9,31.80653288
2002,Libya,71.1,Middle East & North Africa,Upper middle income,0.01,54,0.1,3890,15.8,29.13434871
2005,Libya,71.9,Middle East & North Africa,Upper middle income,0.01,56,0.1,292,15.7,472.3047034
2001,Libya,71,Middle East & North Africa,Upper middle income,0.01,53.4,0.1,633,15.7,362.3817951
2000,Libya,78,Middle East & North Africa,Upper middle income,0.01,52.8,0.1,0,15.5,457.3202236
2006,Libya,72.2,Middle East & North Africa,Upper middle income,0.01,56.7,0.1,1,15.4,493.415341
2007,Libya,72.5,Middle East & North Africa,Upper middle income,0.01,57.4,0.1,59,15.1,54.8789106
2008,Libya,72.6,Middle East & North Africa,Upper middle income,0.01,58.2,0.1,8,14.8,532.6700005
2009,Libya,72.7,Middle East & North Africa,Upper middle income,0.01,59,0.1,329,14.6,63.55170297
2010,Libya,72.8,Middle East & North Africa,Upper middle income,0.01,59.9,0.1,0,14.3,52.50394196
2011,Libya,71.3,Middle East & North Africa,Upper middle income,0.01,6.9,0.1,0,14,36.11567366
2012,Libya,72.9,Middle East & North Africa,Upper middle income,0.01,61.8,0.1,320,13.7,0
2014,Libya,72.4,Middle East & North Africa,Upper middle income,0.01,63.8,0.1,372,13.4,0
2013,Libya,72.9,Middle East & North Africa,Upper middle income,0.01,62.8,0.1,0,13.4,0
2010,Lithuania,72.4,Europe & Central Asia,High income,12.9,6,0.1,2,16.8,1423.802386
2011,Lithuania,72.8,Europe & Central Asia,High income,12.66,6.5,0.1,7,16.7,1758.822757
2009,Lithuania,72.2,Europe & Central Asia,High income,12.4,59.7,0.1,0,16.6,1446.529217
2008,Lithuania,71.1,Europe & Central Asia,High income,13.3,59.3,0.1,1,16.5,1888.149904
2012,Lithuania,73,Europe & Central Asia,High income,15.14,6.9,0.1,0,16.5,1807.071336
2014,Lithuania,73.4,Europe & Central Asia,High income,15.19,61.9,0.1,11,16.5,2211.744178
2006,Lithuania,76,Europe & Central Asia,High income,12.7,58.7,0.1,1,16.4,116.504961
2007,Lithuania,72,Europe & Central Asia,High income,13.4,59,0.1,0,16.4,1581.511914
2013,Lithuania,73,Europe & Central Asia,High income,15.04,61.4,0.1,35,16.4,1968.816817
2004,Lithuania,71.6,Europe & Central Asia,High income,12.1,58.1,0.1,1,16.3,76.36187737
2005,Lithuania,78,Europe & Central Asia,High income,12.3,58.4,0.1,1,16.2,913.699529
2003,Lithuania,71.6,Europe & Central Asia,High income,11.29,57.8,0.1,1,15.8,80.99710054
2002,Lithuania,71.4,Europe & Central Asia,High income,11,57.5,0.1,103,15.3,561.9168642
2001,Lithuania,71.2,Europe & Central Asia,High income,10.2,57.2,0.1,7,14.7,42.87208671
2000,Lithuania,71.6,Europe & Central Asia,High income,9.87,56.9,0.1,19,14,373.2605532
2013,Luxembourg,81.4,Europe & Central Asia,High income,11.02,6.5,0.1,0,13.9,15515.75234
2014,Luxembourg,81.7,Europe & Central Asia,High income,11.12,6.9,0.1,0,13.9,16255.16198
2012,Luxembourg,81.1,Europe & Central Asia,High income,11.34,6.1,0.1,2,13.9,2284.58215
2011,Luxembourg,88,Europe & Central Asia,High income,11.5,59.6,0.1,6,13.9,17028.52798
2010,Luxembourg,86,Europe & Central Asia,High income,11.36,59.2,0.1,0,13.7,2267.252192
2003,Luxembourg,78.6,Europe & Central Asia,High income,12.61,55.8,0.1,1,13.6,10111.38928
2009,Luxembourg,83,Europe & Central Asia,High income,11.42,58.8,0.1,0,13.5,2052.393076
2008,Luxembourg,80,Europe & Central Asia,High income,11.53,58.4,0.1,1,13.5,18961.3486
2007,Luxembourg,79.7,Europe & Central Asia,High income,11.75,57.9,0.1,0,13.5,267.051312
2005,Luxembourg,78.8,Europe & Central Asia,High income,11.84,57,0.1,0,13.5,1346.246697
2006,Luxembourg,79.4,Europe & Central Asia,High income,11.98,57.5,0.1,8,13.5,15345.4907
2004,Luxembourg,78.7,Europe & Central Asia,High income,12.42,56.4,0.1,0,13.5,12372.05188
2002,Luxembourg,78.3,Europe & Central Asia,High income,12.91,55.2,0.1,0,13.5,910.5062778
2000,Luxembourg,77.8,Europe & Central Asia,High income,13.14,54,0.1,0,13.5,8246.130437
2001,Luxembourg,78,Europe & Central Asia,High income,12.89,54.6,0.1,0,13.4,7877.33656
2014,Madagascar,65.1,Sub-Saharan Africa,Low income,0.01,2,0.3,3,10.3,5.339065673
2013,Madagascar,64.7,Sub-Saharan Africa,Low income,0.87,19.5,0.4,6,10.3,79.50882493
2012,Madagascar,64.3,Sub-Saharan Africa,Low income,0.87,19,0.4,2,10.2,59.97914461
2011,Madagascar,63.8,Sub-Saharan Africa,Low income,0.97,18.5,0.4,0,10.2,78.79967196
2010,Madagascar,63.3,Sub-Saharan Africa,Low income,1.03,18,0.5,1,10.2,76.60442169
2009,Madagascar,62.8,Sub-Saharan Africa,Low income,0.91,17.6,0.5,0,9.7,71.16601203
2008,Madagascar,62.3,Sub-Saharan Africa,Low income,0.68,17.1,0.5,3,9.4,6.448762615
2007,Madagascar,61.9,Sub-Saharan Africa,Low income,0.71,16.7,0.6,0,9.1,55.43034455
2006,Madagascar,61.4,Sub-Saharan Africa,Low income,0.68,16.3,0.6,2,9,38.41870375
2005,Madagascar,69,Sub-Saharan Africa,Low income,0.72,15.8,0.6,0,8.9,33.74786198
2004,Madagascar,64,Sub-Saharan Africa,Low income,0.81,15.4,0.6,35558,8.7,23.72796328
2003,Madagascar,59.9,Sub-Saharan Africa,Low income,0.93,15,0.7,62233,8.5,37.12894787
2002,Madagascar,59.3,Sub-Saharan Africa,Low income,0.9,14.7,0.7,10795,8.3,47.5262138
2001,Madagascar,58.7,Sub-Saharan Africa,Low income,1.05,14.3,0.7,9357,8.2,42.56331585
2000,Madagascar,57.9,Sub-Saharan Africa,Low income,1.16,13.9,0.6,35256,8,35.66125056
2014,Malawi,57.6,Sub-Saharan Africa,Low income,0.01,19.2,5.1,3,10.7,59.48744893
2013,Malawi,56.7,Sub-Saharan Africa,Low income,0.01,18.8,6.3,1,10.7,55.83107625
2012,Malawi,55.3,Sub-Saharan Africa,Low income,0.01,18.4,8.3,11,10.7,82.76865922
2000,Malawi,43.1,Sub-Saharan Africa,Low income,1.18,14.1,25.5,304,10.7,13.76270195
2011,Malawi,54.1,Sub-Saharan Africa,Low income,1.23,18,11.2,26,10.6,13.77617463
2002,Malawi,44,Sub-Saharan Africa,Low income,1.1,14.8,24.7,92,10.4,3.885394742
2003,Malawi,44.6,Sub-Saharan Africa,Low income,1.08,15.2,24.2,167,10.3,4.375316094
2010,Malawi,52.9,Sub-Saharan Africa,Low income,1.08,17.6,13.7,118712,10.2,9.728005297
2001,Malawi,43.5,Sub-Saharan Africa,Low income,1.15,14.4,25.1,150,10.1,12.79760626
2004,Malawi,45.1,Sub-Saharan Africa,Low income,1.11,15.5,23.4,1116,10,58.13583343
2009,Malawi,51.5,Sub-Saharan Africa,Low income,1.16,17.3,14.9,21,9.9,7.915071248
2005,Malawi,46,Sub-Saharan Africa,Low income,1.04,15.9,22.4,184,9.7,5.670640102
2007,Malawi,48.5,Sub-Saharan Africa,Low income,1.18,16.6,19.3,143,9.7,4.269511381
2006,Malawi,47.1,Sub-Saharan Africa,Low income,1.18,16.2,21.1,1,9.6,6.847033785
2008,Malawi,50,Sub-Saharan Africa,Low income,1.27,16.9,16.9,20,9.6,74.34482999
2011,Malaysia,74.3,East Asia & Pacific,Upper middle income,0.51,36.3,0.1,1569,13,9.23002632
2014,Malaysia,74.8,East Asia & Pacific,Upper middle income,0.52,39.5,0.1,221,13,721.3655432
2005,Malaysia,73.4,East Asia & Pacific,Upper middle income,0.46,3.7,0.1,1407,12.9,297.5913833
2013,Malaysia,74.6,East Asia & Pacific,Upper middle income,0.53,38.5,0.1,195,12.9,110.6779711
2012,Malaysia,74.5,East Asia & Pacific,Upper middle income,0.53,37.4,0.1,1868,12.9,101.609245
2010,Malaysia,74.1,East Asia & Pacific,Upper middle income,0.49,35.3,0.1,73,12.8,65.56659662
2006,Malaysia,73.6,East Asia & Pacific,Upper middle income,0.42,31.6,0.1,564,12.7,365.9113978
2004,Malaysia,73.2,East Asia & Pacific,Upper middle income,0.49,29.8,0.1,5729,12.7,315.6639322
2009,Malaysia,74,East Asia & Pacific,Upper middle income,0.47,34.4,0.1,153,12.6,431.5452472
2008,Malaysia,73.8,East Asia & Pacific,Upper middle income,0.47,33.4,0.1,334,12.5,438.4519214
2007,Malaysia,73.7,East Asia & Pacific,Upper middle income,0.43,32.5,0.1,394,12.3,409.9812523
2003,Malaysia,73.1,East Asia & Pacific,Upper middle income,0.48,28.8,0.1,632,12.1,264.2496129
2002,Malaysia,72.9,East Asia & Pacific,Upper middle income,0.49,27.9,0.1,408,12,216.7029481
2001,Malaysia,72.7,East Asia & Pacific,Upper middle income,0.53,27,0.1,2198,11.9,210.2417002
2000,Malaysia,72.4,East Asia & Pacific,Upper middle income,0.54,26,0.1,6187,11.6,23.37167228
2014,Maldives,78.2,South Asia,Upper middle income,0.01,26.2,0.1,0,12.7,2051.748615
2013,Maldives,77.9,South Asia,Upper middle income,0.01,25.1,0.1,0,12.4,1626.591186
2004,Maldives,73.4,South Asia,Upper middle income,1.6,17.3,0.1,37,12.2,611.9093566
2012,Maldives,77.6,South Asia,Upper middle income,0.01,24.1,0.1,0,12.1,1259.940376
2005,Maldives,74.3,South Asia,Upper middle income,1.47,18,0.1,1395,12.1,620.9518909
2006,Maldives,75,South Asia,Upper middle income,1.62,18.7,0.1,47,12,659.8499118
2002,Maldives,71.8,South Asia,Upper middle income,1.95,16.2,0.1,926,12,4.299053392
2007,Maldives,75.4,South Asia,Upper middle income,1.78,19.5,0.1,20,11.9,6.491488598
2009,Maldives,76.3,South Asia,Upper middle income,1.59,21.2,0.1,6,11.8,100.503021
2003,Maldives,72.7,South Asia,Upper middle income,1.75,16.7,0.1,75,11.8,491.4978908
2008,Maldives,75.9,South Asia,Upper middle income,1.76,2.3,0.1,0,11.8,1077.712092
2011,Maldives,77.3,South Asia,Upper middle income,1.92,23.1,0.1,0,11.8,1079.893546
2001,Maldives,78,South Asia,Upper middle income,1.98,15.6,0.1,0,11.8,41.30688803
2010,Maldives,76.7,South Asia,Upper middle income,1.83,22.1,0.1,0,11.6,91.13971812
2000,Maldives,69.6,South Asia,Upper middle income,1.83,15.2,0.1,20,11.3,300.1621026
2014,Mali,57.8,Sub-Saharan Africa,Low income,0.01,23.2,1.6,290,8.2,46.56231672
2013,Mali,57.3,Sub-Saharan Africa,Low income,0.01,22.5,1.6,221,8,36.86104319
2012,Mali,57.2,Sub-Saharan Africa,Low income,0.01,21.9,1.5,341,7.7,96.5465827
2011,Mali,56.8,Sub-Saharan Africa,Low income,0.61,21.3,1.5,24,7.5,101.8113996
2010,Mali,56.5,Sub-Saharan Africa,Low income,0.6,2.7,1.5,1719,7.3,9.585584394
2009,Mali,56,Sub-Saharan Africa,Low income,0.59,2.2,1.6,2939,7.1,84.63438925
2007,Mali,55,Sub-Saharan Africa,Low income,0.55,19,1.7,2,6.4,81.8405007
2006,Mali,54.3,Sub-Saharan Africa,Low income,0.53,18.5,1.8,128,6.1,67.70920683
2005,Mali,53.6,Sub-Saharan Africa,Low income,0.55,18,1.9,33,5.8,60.21211141
2008,Mali,55.5,Sub-Saharan Africa,Low income,0.57,19.6,1.6,98,5.8,102.1413744
2004,Mali,52.8,Sub-Saharan Africa,Low income,0.49,17.5,2,172,5.5,57.11644801
2003,Mali,52,Sub-Saharan Africa,Low income,0.54,17,2.2,232,5.2,6.660451777
2002,Mali,51.2,Sub-Saharan Africa,Low income,0.53,16.5,2.3,717,4.9,3.67646576
2001,Mali,55,Sub-Saharan Africa,Low income,0.51,16.1,2.4,4464,4.6,4.395885717
2000,Mali,49.8,Sub-Saharan Africa,Low income,0.47,15.6,2.5,1578,4.4,23.94507124
2005,Malta,79,Middle East & North Africa,High income,6.41,65,0.1,6,14.8,2247.035692
2011,Malta,87,Middle East & North Africa,High income,6.91,68,0.1,3,14.8,3601.287457
2006,Malta,79.3,Middle East & North Africa,High income,8.84,65.6,0.1,1,14.8,2380.699796
2008,Malta,80,Middle East & North Africa,High income,7.14,66.6,0.1,1,14.6,2655.573684
2010,Malta,83,Middle East & North Africa,High income,7.91,67.6,0.1,0,14.6,278.0687051
2009,Malta,82,Middle East & North Africa,High income,7.38,67.1,0.1,1,14.4,335.5180568
2007,Malta,79.6,Middle East & North Africa,High income,7.45,66.1,0.1,2,14.4,2578.888314
2014,Malta,81.4,Middle East & North Africa,High income,8.49,69.2,0.1,0,14.3,409.6000248
2004,Malta,78.7,Middle East & North Africa,High income,6.53,64.5,0.1,4,14.2,203.3157499
2013,Malta,81.1,Middle East & North Africa,High income,8.58,68.8,0.1,0,14.2,374.2947283
2012,Malta,81,Middle East & North Africa,High income,7.67,68.4,0.1,0,14.1,343.123395
2000,Malta,77.5,Middle East & North Africa,High income,5.59,62.3,0.1,2,13.8,134.3547253
2002,Malta,78.2,Middle East & North Africa,High income,5.73,63.4,0.1,7,13.8,1552.740429
2003,Malta,78.5,Middle East & North Africa,High income,6.7,63.9,0.1,4,13.8,1678.392773
2001,Malta,77.8,Middle East & North Africa,High income,5.62,62.8,0.1,2,13.7,130.0150391
2014,Mauritania,63,Sub-Saharan Africa,Lower middle income,0.01,3.1,0.9,14,8.5,80.92679802
2013,Mauritania,62.7,Sub-Saharan Africa,Lower middle income,0.01,29.4,1.1,62,8.2,8.88028118
2012,Mauritania,62.5,Sub-Saharan Africa,Lower middle income,0.01,28.8,1.2,35,7.8,62.48419552
2011,Mauritania,62.2,Sub-Saharan Africa,Lower middle income,0.01,28.1,1.2,234,7.7,79.27658464
2010,Mauritania,62,Sub-Saharan Africa,Lower middle income,0.01,27.4,1.2,1292,7.6,8.353074798
2007,Mauritania,61.2,Sub-Saharan Africa,Lower middle income,0.02,25.5,1.3,11,7.4,7.35400072
2006,Mauritania,69,Sub-Saharan Africa,Lower middle income,0.01,24.8,1.3,22,7.2,55.79836969
2005,Mauritania,66,Sub-Saharan Africa,Lower middle income,0.01,24.2,1.3,127,7.2,55.12187071
2008,Mauritania,61.4,Sub-Saharan Africa,Lower middle income,0.02,26.1,1.3,4,7.2,61.76263795
2009,Mauritania,61.7,Sub-Saharan Africa,Lower middle income,0.01,26.8,1.2,322,7.1,11.14504291
2004,Mauritania,64,Sub-Saharan Africa,Lower middle income,0.01,23.6,1.3,5039,6.7,5.00378288
2003,Mauritania,63,Sub-Saharan Africa,Lower middle income,0.01,22.9,1.3,3611,6.6,29.65370899
2001,Mauritania,61,Sub-Saharan Africa,Lower middle income,0.01,21.7,1.2,1398,6.5,28.782245
2002,Mauritania,62,Sub-Saharan Africa,Lower middle income,0.02,22.3,1.2,883,6.5,4.113190741
2000,Mauritania,60,Sub-Saharan Africa,Lower middle income,0.03,21.1,1.1,0,6.4,8.594570232
2014,Mauritius,74.2,Sub-Saharan Africa,High income,0.01,32.8,0.1,0,14.7,115.2784282
2013,Mauritius,74.1,Sub-Saharan Africa,High income,0.01,32.3,0.1,0,14.7,917.467628
2012,Mauritius,73.9,Sub-Saharan Africa,High income,0.01,31.8,0.1,0,14.3,915.1859205
2011,Mauritius,73.6,Sub-Saharan Africa,High income,3.03,31.3,0.1,2,14.1,918.807245
2010,Mauritius,73.3,Sub-Saharan Africa,High income,2.95,3.7,0.2,12,14,0.108055973
2009,Mauritius,72.8,Sub-Saharan Africa,High income,2.83,3.2,0.1,15,13.8,624.2361828
2008,Mauritius,72.7,Sub-Saharan Africa,High income,2.49,29.7,0.1,12,13.6,6.6489825
2007,Mauritius,72.9,Sub-Saharan Africa,High income,3.24,29.1,0.1,13,13.5,582.5143743
2006,Mauritius,71.8,Sub-Saharan Africa,High income,3.73,28.6,0.1,3,13.4,502.3844946
2005,Mauritius,72.1,Sub-Saharan Africa,High income,3.94,28,0.1,7,13,479.9234077
2004,Mauritius,71.9,Sub-Saharan Africa,High income,4.16,27.5,0.1,28,12.8,509.3899943
2003,Mauritius,71.5,Sub-Saharan Africa,High income,4.08,26.9,0.1,777,12.6,407.779262
2002,Mauritius,71.5,Sub-Saharan Africa,High income,4.14,26.4,0.1,0,12.5,369.6317105
2001,Mauritius,71.5,Sub-Saharan Africa,High income,4.38,25.8,0.1,0,12.2,70.15536981
2000,Mauritius,71,Sub-Saharan Africa,High income,4.6,25.3,0.1,0,12.1,336.3213326
2014,Mexico,76.6,Latin America & Caribbean,Upper middle income,5.26,62.8,0.1,3,13.1,168.173753
2013,Mexico,76.6,Latin America & Caribbean,Upper middle income,5.23,62.1,0.1,0,12.9,150.408875
2012,Mexico,76.3,Latin America & Caribbean,Upper middle income,5.29,61.5,0.1,0,12.7,112.696486
2011,Mexico,76.1,Latin America & Caribbean,Upper middle income,5.3,6.8,0.1,3,12.6,1117.196097
2010,Mexico,75.6,Latin America & Caribbean,Upper middle income,5.21,6.1,0.1,0,12.5,1033.039737
2009,Mexico,75.7,Latin America & Caribbean,Upper middle income,5.27,59.4,0.1,0,12.5,881.7364327
2007,Mexico,76,Latin America & Caribbean,Upper middle income,5.35,57.9,0.1,0,12.3,105.7476131
2008,Mexico,75.6,Latin America & Caribbean,Upper middle income,5.36,58.7,0.1,0,12.3,159.8772264
2005,Mexico,75.3,Latin America & Caribbean,Upper middle income,4.93,56.4,0.1,6,12.2,998.3498049
2006,Mexico,75.8,Latin America & Caribbean,Upper middle income,5.11,57.2,0.1,23,12.2,980.2537444
2004,Mexico,75.4,Latin America & Caribbean,Upper middle income,4.9,55.7,0.1,64,12.1,920.8284115
2003,Mexico,75,Latin America & Caribbean,Upper middle income,4.88,54.9,0.1,44,11.9,781.2062828
2002,Mexico,75,Latin America & Caribbean,Upper middle income,4.77,54.1,0.1,0,11.6,12.1859723
2001,Mexico,75,Latin America & Caribbean,Upper middle income,4.86,53.2,0.1,3,11.6,13.31109532
2000,Mexico,74.8,Latin America & Caribbean,Upper middle income,4.99,52.4,0.1,30,11.4,10.22840118
2014,Micronesia(FederatedStatesof),69.4,East Asia & Pacific,Lower middle income,1.58,68.7,0.1,140,11.7,0
2013,Micronesia(FederatedStatesof),69.2,East Asia & Pacific,Lower middle income,1.67,68.1,0.1,0,11.7,0
2011,Micronesia(FederatedStatesof),68.9,East Asia & Pacific,Lower middle income,1.89,67,0.1,0,11.7,0
2012,Micronesia(FederatedStatesof),69,East Asia & Pacific,Lower middle income,2.98,67.5,0.1,0,11.7,0
2010,Micronesia(FederatedStatesof),68.7,East Asia & Pacific,Lower middle income,1.76,66.4,0.1,0,11.5,0
2009,Micronesia(FederatedStatesof),68.5,East Asia & Pacific,Lower middle income,2.06,65.8,0.1,0,11.4,0
2008,Micronesia(FederatedStatesof),68.4,East Asia & Pacific,Lower middle income,1.97,65.2,0.1,0,11.2,0
2007,Micronesia(FederatedStatesof),68.2,East Asia & Pacific,Lower middle income,1.64,64.7,0.1,0,11,0
2006,Micronesia(FederatedStatesof),68,East Asia & Pacific,Lower middle income,1.73,64.1,0.1,0,10.9,0
2005,Micronesia(FederatedStatesof),67.9,East Asia & Pacific,Lower middle income,1.9,63.6,0.1,0,10.7,0
2004,Micronesia(FederatedStatesof),67.7,East Asia & Pacific,Lower middle income,2.02,63.2,0.1,0,10.5,0
2003,Micronesia(FederatedStatesof),67.5,East Asia & Pacific,Lower middle income,3.15,62.8,0.1,0,10.4,0
2002,Micronesia(FederatedStatesof),66.2,East Asia & Pacific,Lower middle income,2.78,62.4,0.1,0,10.2,0
2001,Micronesia(FederatedStatesof),67.2,East Asia & Pacific,Lower middle income,2.82,62,0.1,0,10.1,0
2000,Micronesia(FederatedStatesof),67,East Asia & Pacific,Lower middle income,2.23,61.5,0.1,0,0,0
2014,Mongolia,68.4,East Asia & Pacific,Lower middle income,0.01,51.5,0.1,0,14.8,281.0023992
2013,Mongolia,68.1,East Asia & Pacific,Lower middle income,0.01,5.4,0.1,0,14.7,241.1958645
2012,Mongolia,67.8,East Asia & Pacific,Lower middle income,0.01,49.2,0.1,0,14.7,253.8285861
2011,Mongolia,67.3,East Asia & Pacific,Lower middle income,0.01,48,0.1,0,14.6,257.8403154
2010,Mongolia,66.3,East Asia & Pacific,Lower middle income,5.8,46.9,0.1,7,14.3,22.31624272
2009,Mongolia,66.9,East Asia & Pacific,Lower middle income,4.61,45.9,0.1,8,13.8,134.1678932
2008,Mongolia,67.4,East Asia & Pacific,Lower middle income,4.26,44.9,0.1,31,13.4,181.0123284
2007,Mongolia,65.9,East Asia & Pacific,Lower middle income,3.79,43.9,0.1,12,13,126.698109
2006,Mongolia,65,East Asia & Pacific,Lower middle income,2.91,43,0.1,26,12.7,122.1206485
2005,Mongolia,64.5,East Asia & Pacific,Lower middle income,2.75,42.1,0.1,0,11.8,98.68367951
2004,Mongolia,64,East Asia & Pacific,Lower middle income,1.75,41.3,0.1,0,11.2,73.24150483
2003,Mongolia,64,East Asia & Pacific,Lower middle income,1.31,4.5,0.1,18,10.5,56.05686428
2002,Mongolia,63.8,East Asia & Pacific,Lower middle income,2.43,39.8,0.1,1205,10.1,55.60878216
2001,Mongolia,63.2,East Asia & Pacific,Lower middle income,2.87,39.1,0.1,10677,9.4,61.84921903
2000,Mongolia,62.8,East Asia & Pacific,Lower middle income,2.79,38.5,0.1,925,8.9,56.431387
2014,Montenegro,75.9,Europe & Central Asia,Upper middle income,0.01,61.3,0.1,0,15.1,726.0291764
2013,Montenegro,75.8,Europe & Central Asia,Upper middle income,0.01,6.7,0.1,0,15.1,707.144691
2012,Montenegro,75.6,Europe & Central Asia,Upper middle income,0.01,6.2,0.1,0,15.1,648.1331781
2011,Montenegro,75.4,Europe & Central Asia,Upper middle income,6.56,59.7,0.1,5,15.1,666.7374371
2010,Montenegro,75.3,Europe & Central Asia,Upper middle income,6.56,59.1,0.1,5,15,635.4849381
2009,Montenegro,75,Europe & Central Asia,Upper middle income,6.45,58.5,0.1,0,14.6,489.6818699
2008,Montenegro,74.6,Europe & Central Asia,Upper middle income,6.17,57.8,0.1,0,14.2,709.1311228
2007,Montenegro,74.2,Europe & Central Asia,Upper middle income,4.98,57.2,0.1,0,13.6,678.5188944
2006,Montenegro,73.8,Europe & Central Asia,Upper middle income,5.38,56.5,0.1,0,13.2,595.7306923
2004,Montenegro,73.5,Europe & Central Asia,Upper middle income,0.01,55,0.1,0,12.6,57.12190146
2003,Montenegro,73.5,Europe & Central Asia,Upper middle income,0.01,54.2,0.1,0,0,495.0782963
2002,Montenegro,73.4,Europe & Central Asia,Upper middle income,0.01,53.5,0.1,0,0,36.48024032
2001,Montenegro,73.3,Europe & Central Asia,Upper middle income,0.01,52.7,0.1,0,0,33.66981355
2000,Montenegro,73,Europe & Central Asia,Upper middle income,0.01,51.9,0.1,0,0,274.5472605
2014,Morocco,74.1,Middle East & North Africa,Lower middle income,0.43,57.5,0.1,10,12.1,198.7343495
2013,Morocco,73.9,Middle East & North Africa,Lower middle income,0.45,56.5,0.1,92,12.1,179.8598949
2012,Morocco,73.6,Middle East & North Africa,Lower middle income,0.55,55.5,0.1,668,11.6,19.15853732
2011,Morocco,73.3,Middle East & North Africa,Lower middle income,0.54,54.6,0.1,982,11.2,22.0945504
2010,Morocco,72.8,Middle East & North Africa,Lower middle income,0.56,53.6,0.1,633,10.7,183.6592186
2009,Morocco,72.3,Middle East & North Africa,Lower middle income,0.62,52.7,0.1,834,10.5,188.2902861
2008,Morocco,71.8,Middle East & North Africa,Lower middle income,0.51,51.7,0.1,1455,10.3,171.3658969
2007,Morocco,71.4,Middle East & North Africa,Lower middle income,0.56,5.8,0.1,2248,10,157.6431445
2006,Morocco,71,Middle East & North Africa,Lower middle income,0.58,49.9,0.1,1217,10,127.7632005
2005,Morocco,77,Middle East & North Africa,Lower middle income,0.47,49.1,0.1,0,9.8,9.469371264
2004,Morocco,72,Middle East & North Africa,Lower middle income,0.56,48.2,0.1,6399,9.6,100.3638322
2003,Morocco,69.9,Middle East & North Africa,Lower middle income,0.58,47.3,0.1,10841,9.3,88.16506179
2002,Morocco,69.5,Middle East & North Africa,Lower middle income,0.46,46.5,0.1,6000,8.8,66.72933871
2001,Morocco,69,Middle East & North Africa,Lower middle income,0.46,45.7,0.1,2724,8.5,71.11645
2000,Morocco,68.6,Middle East & North Africa,Lower middle income,0.45,44.8,0.1,7368,8,63.42140024
2011,Mozambique,54.3,Sub-Saharan Africa,Low income,0.94,2.9,9.6,177,9.5,40.80617976
2010,Mozambique,54,Sub-Saharan Africa,Low income,0.96,2.5,10.8,2321,9.3,5.743393664
2009,Mozambique,53.8,Sub-Saharan Africa,Low income,1.18,2.1,11.3,60,9.2,39.75216936
2012,Mozambique,54.8,Sub-Saharan Africa,Low income,1.19,21.3,6.9,145,9.2,49.90987221
2014,Mozambique,56.7,Sub-Saharan Africa,Low income,0.01,22.2,4.1,9,9.1,54.91159475
2013,Mozambique,55.3,Sub-Saharan Africa,Low income,1.16,21.8,5.1,8,9.1,5.813338496
2008,Mozambique,53.2,Sub-Saharan Africa,Low income,1.48,19.7,12.6,4,8.8,0.796915785
2007,Mozambique,52.1,Sub-Saharan Africa,Low income,1.03,19.3,14.1,267,8.2,53.9502789
2006,Mozambique,51.2,Sub-Saharan Africa,Low income,1.2,18.9,16.3,183,7.9,58.59644487
2005,Mozambique,58,Sub-Saharan Africa,Low income,1.23,18.5,16.2,12598,7.3,67.33378735
2004,Mozambique,54,Sub-Saharan Africa,Low income,1.54,18.1,15.9,9396,7,46.58195631
2003,Mozambique,51,Sub-Saharan Africa,Low income,1.68,17.7,15.3,28898,6.7,42.52689559
2002,Mozambique,49.8,Sub-Saharan Africa,Low income,2.16,17.3,14.5,7155,6.2,40.82597077
2001,Mozambique,49.5,Sub-Saharan Africa,Low income,2.09,16.9,13.4,7085,5.8,37.82511936
